"","name","id","artist","artist_id"
"1","The Potentialist","3vTmy4w7PxWEuFDFg2HcVG","the potentialist","3vTmy4w7PxWEuFDFg2HcVG"
"2","Sunny Fruit","780xJyn05s1UlkXG4UoQ5z","sunny fruit","780xJyn05s1UlkXG4UoQ5z"
"3","Mary May","35XcXQhLuCLJCLQu5fwtzc","mary may","35XcXQhLuCLJCLQu5fwtzc"
"4","Nobide","1dNtJ0uZlWbNs718P2VGhZ","nobide","1dNtJ0uZlWbNs718P2VGhZ"
"5","Otis Redding","60df5JBRRPcnSpsIMxxwQm","otis redding","60df5JBRRPcnSpsIMxxwQm"
"6","Justin Bieber","1uNFoZAHBGtllmzznpCI3s","justin bieber","1uNFoZAHBGtllmzznpCI3s"
"7","The Doors","22WZ7M8sxp5THdruNY3gXt","the doors","22WZ7M8sxp5THdruNY3gXt"
"8","Lady Gaga","1HY2Jd0NmPuamShAr6KMms","lady gaga","1HY2Jd0NmPuamShAr6KMms"
"9","The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","the weekend","1Xyo4u8uXC1ZmMpatF05PJ"
"10","The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","the weeknd","1Xyo4u8uXC1ZmMpatF05PJ"
"11","Dolly Parton","32vWCbZh0xZ4o9gkz4PsEU","dolly parton","32vWCbZh0xZ4o9gkz4PsEU"
"12","Elton John","3PhoLpVuITZKcymswpck5b","elton john","3PhoLpVuITZKcymswpck5b"
"13","Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","aerosmith","7Ey4PD4MYsKc5I2dolUwbH"
